,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure
count,100.0,100.0,100.0
mean,0.2691974527498093,0.05522395633558888,0.1823476256578057
std,0.0958261398926822,0.04948372051922026,0.06485752041422523
min,0.046511627906976744,0.0,0.046511627906976744
25%,0.1886208638545087,0.01937877954920286,0.13296703296703297
50%,0.2615623785464438,0.044003868471953575,0.17607313195548488
75%,0.34134065431251426,0.09486007995431182,0.21765060240963857
max,0.4788732394366198,0.1935483870967742,0.37499999999999994
